Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
01/01/2016;15,5;11,9;0;35,8;29,8;25;63;54;4,4
02/01/2016;12,5;11,5;0;36,9;31,5;25,7;61;61;2,1
03/01/2016;12,8;11,6;0;38,4;32,2;27,5;56;57;3,3
04/01/2016;13,6;5,7;0;36,6;28,4;24,8;81;55;2,5
05/01/2016;8,6;6,5;23,2;34,2;26,5;23,1;87;87;3,4
06/01/2016;7,6;2,5;,6;31,6;25,1;22,7;91;87;2,5
07/01/2016;4,1;2,3;34,7;31;26,1;22,1;84;90;1,7
08/01/2016;4,7;,2;36,6;27;24,2;21,5;89;81;1,7
09/01/2016;2,1;,9;10,6;35,2;27,9;23,1;77;82;2,5
10/01/2016;8,1;11,7;0;33,6;28,9;23,5;65;74;4,2
11/01/2016;12,1;9,7;0;33,4;29,1;24,3;69;60;3
12/01/2016;11;10;0;34,4;29,7;24,3;65;66;2,1
13/01/2016;12,2;4,4;0;32,6;28,9;25,9;71;61;2,1
14/01/2016;7,3;0;1,4;29,2;25,4;22,4;90;68;,9
15/01/2016;3,1;7,8;3,2;33,2;28,6;23,5;79;85;1,3
16/01/2016;7,4;5;0;33,3;27,4;25,3;67;76;2,5
17/01/2016;5,3;,1;5,4;26,8;23,9;22;94;85;1,7
18/01/2016;1,1;4,8;25;30,8;25,8;21,9;83;85;2,1
19/01/2016;4,1;3,7;3,4;31;27,2;23,2;76;82;2,1
20/01/2016;5,5;0;,4;28,4;24,2;22,1;94;70;1,3
21/01/2016;1,3;1,9;34,6;29,2;24,4;22,1;94;91;1,3
22/01/2016;1,5;0;28,4;23,8;22,8;21,5;95;95;1,3
23/01/2016;,8;5,7;64,2;30,9;26,5;21,5;86;91;1,3
24/01/2016;3,4;0;1,8;27,8;24,7;23,7;93;83;,9
25/01/2016;2,5;2;1,8;28,6;25,8;23,5;92;87;1,3
26/01/2016;1,8;6,2;4;31,2;26,9;23,9;86;87;,9
27/01/2016;4,9;6,7;0;31,8;27,6;24,9;78;81;2,1
28/01/2016;6,5;4,5;1,4;30;25,3;22,3;87;76;1,7
29/01/2016;4,9;10,3;0;31,6;26,8;22,6;70;76;2,5
30/01/2016;9,7;11,4;0;31,5;25,9;22,5;76;67;2,9
31/01/2016;9,6;11,9;1,2;31;25,8;21,7;76;72;3,4
01/02/2016;7,3;9,6;12,8;31,2;25,8;21,1;77,3;64;1,7
02/02/2016;6,9;3,6;1;29,2;26,1;22;77;70;2,4
03/02/2016;6;,3;0;28,3;26,2;23,7;79,8;75;2,2
04/02/2016;5;8;0;30,6;26,8;23;74;64;2,3
05/02/2016;7,2;10,6;0;31,8;27,3;22,7;66,5;55;2,8
