"Clone","Ano","Bloco","NR.P","PTR","PPA","MS","PROD.AMD","AP","HI","AMD","Porte","RF","CR","DR","DCaule","Ácaro","Nº Hastes","Stand_Final","Branching_Level","Staygreen","Ano.Bloco"
"4271","2019","1",4.333,5,11.833,31.6831683168317,1.35165841584158,1.36,29.7035584863067,27.0331683168317,"2","1",29.3333333333333,29.65,2.23366666666667,"4",2.33333333333333,"6","1","1","2019.1"
"4271","2019","2",4.667,4.167,15.583,34.6534653465347,1.2502444009901,1.50333333333333,21.0987341772152,30.0034653465347,"4","1",30.6666666666667,28.2433333333333,2.09966666666667,"4",2.33333333333333,"6","0","1","2019.2"
"4271","2019","3",4.667,2,14.571,32,0.547,1.42333333333333,12.0692776537324,27.35,"2","1",22,30.9566666666667,2.34733333333333,"4",2.66666666666667,"7","1","1","2019.3"
"4271","2019","4",3,1.429,11.143,NA,NA,1.18666666666667,11.3665287941457,NA,"2","1",26.6666666666667,32.58,2.20766666666667,"4",2.33333333333333,"7","1","1","2019.4"
"2012-107-002","2019","1",15.667,8.9,12,31.7307692307692,2.41018846153846,1.73,42.5837320574163,27.0807692307692,"3","1",29.6666666666667,31.5933333333333,2.73533333333333,"4",3,"5","0","1","2019.1"
"2012-107-002","2019","2",8.333,5.667,8.5,26,1.2099045,1.22,40.0014117314887,21.35,"3","1",24.6666666666667,33.3533333333333,1.45033333333333,"4",2,"3","0","1","2019.2"
"2012-107-002","2019","3",11.333,8.6,10,28,2.0081,1.34666666666667,46.2365591397849,23.35,"1","1",28.3333333333333,42.7166666666667,1.653,"4",3.66666666666667,"5","0","1","2019.3"
"2012-107-002","2019","4",10,7.25,19,22.7722772277228,1.3138650990099,1.39333333333333,27.6190476190476,18.1222772277228,"1","1",32.3333333333333,24.7933333333333,1.77533333333333,"4",3,"2","0","1","2019.4"
"9624-09","2018","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","2018.1"
"9624-09","2018","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","2018.2"
"9624-09","2018","3",NA,NA,NA,35,NA,NA,NA,30.35,"4",NA,24,25.7066666666667,NA,NA,NA,NA,"0","1","2018.3"
"9624-09","2018","4",6.25,4.25,14.5,37.7358490566038,1.40614858490566,NA,22.6666666666667,33.0858490566038,"3",NA,23,30.6266666666667,NA,NA,NA,NA,"1","1","2018.4"
"Aipim Abacate","2019","1",7.333,5.625,11,28,1.3134375,1.85666666666667,33.8345864661654,23.35,"1","1",29.6666666666667,25.9433333333333,2.484,"4",4.66666666666667,"4","0","1","2019.1"
