Clone,NR.P,PTR,PPA,MS,PROD.AMD,AP,HI,AMD,Porte,RF,CR,DR,DCaule,Ácaro,Nº Hastes,Stand_Final,Branching_Level,Staygreen
2012-107-002,4.71013504750255,2.45665611072385,0.474711421139984,-0.676326236527158,0.477594308980431,-0.01215765695719,11.7275518945763,-0.650925149079097,-0.127057576529153,-0.064668645331853,1.36670524359504,0.250522041385586,-0.106889919225414,0.00984879103316656,0.135811459331804,-1.53724848879823,-0.377524803799839,-0.00172251768350808
4271,-1.09910022023047,-0.923284987403299,1.23700419949867,4.1458587879848,0.0261588214393237,-0.0519819125539775,-4.7190500673573,4.17047955586377,0.199007348307006,-0.064668645331853,0.340240188461741,-1.68498534871191,0.106415900145873,0.00984879103316656,-0.210635695439035,0.258519062415497,0.218961195679438,-0.00172251768350808
9624-09,2.54485093606472,-1.21793848215448,2.18134792132358,0.076622366792936,-0.424301720509326,NA,-5.34322934334569,-0.00780574362284345,0.673754963169207,NA,-0.25010300765863,-3.68754553673219,NA,NA,NA,NA,-0.218168559013192,-0.0500388461427111
Aipim Abacate,1.00224480396384,1.01409778109279,1.18072473266668,0.906026240124792,0.215889770387879,0.332781664596523,4.45753068172053,0.931345434282337,-0.779187426201471,0.249021882893935,0.880484954321372,-1.14727939602158,-0.0315661273992989,-0.114410885640002,1.0019293462589,-0.394487319844041,-0.377524803799839,-0.00172251768350808
Alagoana,-0.625380157546033,0.101460850630779,0.186638890810561,NA,NA,-0.0272366557021445,0.21119384074733,NA,NA,-0.0402351864808562,0.301391410303252,2.45716197311913,-0.00212997346905537,-0.196455775956607,NA,NA,NA,NA
BGM-0004,-0.698072654976944,-3.3388524031118,-2.29295967425813,0.474898215432793,-1.09986809852581,-0.192551771901109,-13.6431414281425,0.419778860689866,-0.355884693424139,0.242762648415073,-6.15056814796721,-4.97549678974184,-0.189832985748929,0.131606345579901,0.812335068234768,0.144406743408242,-0.0193398925200999,0.0242331057349505
BGM-0019,-2.85548904550927,-2.45877699853833,-5.74542965185844,-3.54475032793058,-0.144384509292281,-0.153686934539619,-14.0193447224595,-3.52907715806595,0.362039810725085,-0.064668645331853,-5.41863599505842,-3.08869321082374,-0.277512256561902,-0.114410885640002,-0.788047620057099,-0.0679841287142719,0.41778986217253,-0.00172251768350808
BGM-0030,-0.0941610938335716,-0.71625629557023,0.0168084439697419,0.741736896240901,-0.310999542697588,-0.140473899197618,-1.60874873145843,0.67490735193942,0.622310081084338,-0.0352110338321299,-0.522572027633588,-1.53520917673386,0.119161946942199,0.131606345579901,0.292664336078511,-0.182096447721527,-0.0193398925200999,0.00566511776553514
BGM-0032,1.26404154065281,0.215694108383682,0.674717346241961,NA,NA,0.089380205107413,0.158874686683992,NA,NA,0.241443102602056,3.55559550108961,-0.715308318971194,0.375213472071721,0.131650147322591,NA,NA,NA,NA
BGM-0036,-0.945074123672564,-1.70908793636308,5.50117048810389,0.809523299920211,-0.765491582962432,0.110485598257229,-12.9463667615355,0.72503005983955,0.133212693830099,-0.0924909281227449,0.512266682084957,-0.841094251376239,0.225088924413786,-0.0287314692503492,-0.0568262517590041,-0.267549818242182,0.378317440466084,-0.0129028702038802
BGM-0046,0.0287117015108982,2.47647508472516,5.53887107434464,1.06590559427215,0.703656930914703,0.0737824567934583,2.87056300083427,0.99728105077381,-0.0298197685879801,0.06432832292774,2.36888326429985,1.64565204172628,0.122135576515627,-0.0100108120458371,0.114173817538792,0.365731972113746,0.179488773972992,0.0242331057349506
BGM-0048,0.0411779219012665,-1.01124972062901,-4.13783204292926,1.96879387374368,-0.294439370440765,-0.087291742473315,11.5537750369311,1.96623338143002,-0.355884693424139,-0.13098209275273,-1.78879776860782,-2.59003495710456,-0.237272778621098,0.0440099655231706,0.149335455278921,-0.226677236346588,-0.218168559013192,-0.0129028702038802
BGM-0056,1.54197070566547,0.16498180082521,-0.594178542114819,-2.88646009158473,-0.980078604307346,0.00771161455233006,2.46261949764687,-2.97546050209593,-0.0298197685879801,-0.257284057505311,0.860270113445675,1.09259016966078,0.269234288239329,-0.113489592816302,-0.151810096607066,-0.274499559554393,-0.416997225506284,-0.0129028702038802
BGM-0065,0.688618359023453,0.12839265220948,3.2173301793154,NA,NA,0.0701796002961509,-3.94495446089391,NA,NA,-0.144798695889452,1.16578303567867,2.67832938347489,0.00289161265268577,-0.138667417089699,NA,NA,NA,NA
BGM-0066,-0.579145705949279,-2.05777868967006,-1.00091776328638,-3.33725017383287,-0.670477831196987,0.115859413070883,-10.1282648991762,-3.34229838221439,-0.19285223100606,-0.111611010853203,-2.52630049069111,-4.54239860420099,-0.0831662739709297,-0.232705776986793,-0.165699838706438,0.375083666011602,0.179488773972992,0.00566511776553514
BGM-0074,-1.30175267497591,-0.293422219495761,1.33486327242295,1.49235047961292,0.196116736355452,-0.0581087211073293,-4.45979803291221,1.51714482077855,-0.290090038947232,0.249021882893935,-2.46903259400835,-1.37429779606929,0.119806796470516,-0.238670562313171,-0.037412118053616,0.421770657980382,-0.377524803799839,-0.00172251768350808
BGM-0080,0.147536304853106,0.362054479990898,-1.96122076127005,NA,NA,-0.0333634642554963,8.33059948556691,NA,NA,-0.144798695889452,3.32676209911721,3.43778784549016,-0.0194265478883853,-0.196455775956607,NA,NA,NA,NA
BGM-0084,-2.58515067087884,-1.91672707662332,-3.59022006940797,-0.793746840309612,-0.317319880943796,0.0227651517969159,-6.87301189097361,-0.769392524519009,-0.127057576529153,0.0398948640767431,-3.23142287425107,0.0364025823553346,-0.215969928869899,0.00984879103316656,-0.499341657748067,0.258519062415497,0.616618528665622,-0.00172251768350808
BGM-0089,-3.05793884779997,-3.1766422730129,-2.18029342646025,-4.80260962319717,-0.593977977332997,-0.148172806841603,-18.3329041503288,-4.78075728212183,1.17720212281548,-0.064668645331853,-1.38190685352261,-10.4725244455296,-0.210613570340041,0.00984879103316656,0.135811459331804,0.585022253545266,-0.178696137306746,-0.00172251768350808
BGM-0091,-1.40012049203788,-1.03858886267612,-2.52737539775904,NA,NA,0.0407709192400618,-4.54085250998064,NA,NA,0.06432832292774,-1.04922050434583,-3.49270944462615,0.147959656169648,-0.277418573995731,NA,NA,NA,NA
BGM-0096,0.470564317717351,2.20176205262057,-0.00823926299573581,NA,NA,0.028517302133358,12.5218766957226,NA,NA,0.06432832292774,2.08419913764004,1.31738918112701,-0.106467373998562,-0.196455775956607,NA,NA,NA,NA
