probIn scale
0.4506442 0.001414235
0.4303829 0.001394553
0.4072578 0.001380325
0.392231 0.001341225
0.3805021 0.001333295
0.3896704 0.001317795
0.3771049 0.001323637
0.3664711 0.001325424
0.3513407 0.001305079
0.3344216 0.001307738
0.331835 0.001305233
0.3323802 0.001315482
0.3319834 0.00132151
0.3331234 0.001333325
0.3311742 0.001330863
0.3229136 0.001306652
0.3178437 0.001309807
0.3130868 0.001289021
0.3178929 0.001281602
0.3122419 0.001268982
0.3082583 0.001299504
0.3129837 0.001315162
0.2995 0.001283985
0.2888845 0.001266381
0.2963298 0.001267586
0.2983142 0.001267437
0.2994554 0.00123972
0.2898105 0.00126201
0.2848087 0.001238817
0.2904035 0.001232143
0.2934416 0.001211595
0.2813765 0.001203199
0.2785646 0.001202953
0.2752919 0.001193822
0.2763614 0.001194857
0.2715245 0.00118981
0.2642197 0.001181837
0.2741546 0.001179666
0.2517527 0.001208956
0.255649 0.001201211
0.2555365 0.001193454
0.2794974 0.001181434
0.2769845 0.001179551
0.276318 0.001191848
0.2618651 0.001200406
0.2548328 0.001215235
0.2722631 0.001194873
0.2714723 0.001195121
0.2646251 0.001204043
0.2747257 0.001209477
0.2588625 0.00118222
0.2465605 0.001174116
0.2504514 0.00115055
0.2444059 0.001119231
0.2507967 0.001097113
0.2488992 0.001108957
0.2539034 0.001116231
0.2489272 0.001127665
0.2637984 0.001104163
0.2675173 0.001107598
0.2457001 0.00107431
0.2508101 0.001079217
0.2660055 0.001069715
0.2635518 0.001079279
0.2848295 0.001084607
0.2863481 0.001089519
0.2894438 0.001081023
0.2926343 0.001071211
0.3006502 0.001092719
0.2940259 0.001119892
0.2950154 0.001097705
0.2921224 0.001088075
0.2930998 0.001092716
0.2892978 0.001089965
0.2895337 0.001099196
0.2881482 0.001098273
0.2859015 0.001058007
0.2763306 0.001041681
0.2733206 0.001041272
0.2710671 0.001034076
0.2701662 0.001025958
0.2875708 0.001019565
0.3142214 0.000996965
0.3154827 0.0009827934
0.3157443 0.0009940092
0.2896258 0.0009950247
0.291973 0.0009955784
0.29024 0.0009920856
0.2828783 0.0009834822
0.2813488 0.001005549
0.2970235 0.001020354
0.2909916 0.00102639
0.2968953 0.001029745
0.3046392 0.00104331
0.2941054 0.001033395
0.3045163 0.00104149
0.3032191 0.001022737
