Clone,Ano,Bloco,row,col,fitted,residuals,trait
Alagoana,2017,1,15,1,3.37694165368096,-1.54394165368096,N_Roots
Alagoana,2017,2,11,5,3.80658784145928,1.52641215854072,N_Roots
Alagoana,2017,3,8,21,3.81059173110173,0.789408268898266,N_Roots
Alagoana,2017,4,3,44,3.40745921403022,-1.15745921403022,N_Roots
BGM-0032,2017,1,15,4,5.65439460703654,-0.654394607036537,N_Roots
BGM-0032,2017,2,9,45,5.51762113166099,0.482378868339012,N_Roots
BGM-0032,2017,3,6,38,5.71305452537838,1.28694547462162,N_Roots
BGM-0036,2017,1,15,5,2.81422753823563,-0.98122753823563,N_Roots
BGM-0036,2017,2,11,20,3.25450221911815,-0.587502219118149,N_Roots
BGM-0036,2017,3,7,6,3.42336539104327,0.40963460895673,N_Roots
BGM-0046,2017,1,15,6,4.32807182700847,-0.328071827008475,N_Roots
BGM-0046,2017,2,10,46,4.12843486045328,-0.628434860453278,N_Roots
BGM-0046,2017,3,7,16,4.08470312264392,0.315296877356085,N_Roots
BGM-0056,2017,1,15,8,6.12361528601262,0.54638471398738,N_Roots
BGM-0056,2017,2,12,15,6.12491156788476,-0.124911567884758,N_Roots
BGM-0056,2017,3,7,2,5.99395026332838,0.173049736671617,N_Roots
BGM-0056,2017,4,4,14,5.94930302780143,0.880696972198573,N_Roots
BGM-0065,2017,1,15,9,5.07526659452497,0.591733405475026,N_Roots
BGM-0065,2017,2,11,13,4.95726880686913,-0.124268806869125,N_Roots
BGM-0065,2017,3,6,29,5.0859118175164,-1.2529118175164,N_Roots
BGM-0065,2017,4,1,16,4.81144819981082,1.35555180018918,N_Roots
BGM-0080,2017,1,15,10,4.40200920840882,1.42799079159118,N_Roots
BGM-0080,2017,2,12,8,4.58807005487555,-0.418070054875545,N_Roots
BGM-0080,2017,3,5,34,4.5034378664246,-0.00343786642459776,N_Roots
BGM-0080,2017,4,3,37,4.28250881818948,-0.952508818189478,N_Roots
BGM-0091,2017,1,15,11,2.71613484143186,-0.356134841431861,N_Roots
BGM-0091,2017,2,10,14,3.17832293014046,-0.928322930140463,N_Roots
BGM-0091,2017,3,7,38,2.85815199393827,-1.52515199393827,N_Roots
BGM-0091,2017,4,4,15,2.57767884009914,1.67232115990086,N_Roots
BGM-0096,2017,1,15,12,5.03650741815507,0.293492581844934,N_Roots
BGM-0096,2017,2,9,53,4.83955119631158,-1.17255119631158,N_Roots
BGM-0096,2017,3,6,53,4.81813196915645,0.441868030843553,N_Roots
BGM-0096,2017,4,3,1,4.2276421897634,0.939357810236598,N_Roots
BGM-0115,2017,1,15,13,4.87622829667277,-1.87622829667277,N_Roots
BGM-0115,2017,2,11,6,5.56752673958976,0.432473260410235,N_Roots
