"Trait","H2_Broad","H2_narrow","SNP_H2_narrow_sense","mean","cv"
"N_Roots",0.79,0.46,0.18,"4.29 (0.12 - 15.67)",58.56
"FRY",0.66,0.37,0.37,"4.95 (0.12 - 22.2)",81.79
"ShY",0.83,0.54,0.38,"14.23 (0.69 - 61.17)",71.45
"DMC",0.79,0.54,0.38,"29.06 (11.98 - 48.34)",21
"StY",0.51,0.27,0.42,"1.52 (0.02 - 8.87)",84.01
"Plant.Height",0.72,0.35,0.3,"1.19 (0.36 - 3.03)",27.43
"HI",0.67,0.4,0.3,"24.56 (1.57 - 71.97)",48.42
"StC",0.79,0.54,0.38,"24.42 (7.33 - 43.69)",25.05
"Root.Le",0.64,0.24,0.32,"23.21 (7 - 47.33)",24.99
"Root.Di",0.66,0.3,0.29,"28.88 (6.12 - 63.3)",27.35
"Stem.D",0.59,0.24,0.45,"2.11 (1.01 - 4.37)",17.9
"Nstem.Plant",0.47,0.22,0.28,"2.13 (1 - 6.67)",44.53
