"","Trait","Rep","Log","Ac","MSPE"
"1","NR.P",1,TRUE,0.103,10.639
"2","NR.P",2,TRUE,0.127,10.585
"3","NR.P",3,TRUE,0.122,10.596
"4","NR.P",4,TRUE,0.133,10.573
"5","NR.P",5,TRUE,0.131,10.574
"6","PTR",1,TRUE,0.142,10.678
"7","PTR",2,TRUE,0.163,10.565
"8","PTR",3,TRUE,0.173,10.517
"9","PTR",4,TRUE,0.18,10.451
"10","PTR",5,TRUE,0.146,10.652
"11","PPA",1,TRUE,0.112,13.087
"12","PPA",2,TRUE,0.161,12.618
"13","PPA",3,TRUE,0.168,12.267
"14","PPA",4,TRUE,0.169,12.151
"15","PPA",5,TRUE,0.136,12.541
"16","MS",1,TRUE,0.238,10.168
"17","MS",2,TRUE,0.246,10.111
"18","MS",3,TRUE,0.262,10.034
"19","MS",4,TRUE,0.3,9.784
"20","MS",5,TRUE,0.204,10.416
"21","PROD.AMD",1,TRUE,0.133,10.604
"22","PROD.AMD",2,TRUE,0.171,10.552
"23","PROD.AMD",3,TRUE,0.18,10.542
"24","PROD.AMD",4,TRUE,0.197,10.518
"25","PROD.AMD",5,TRUE,0.149,10.582
"26","AP",1,TRUE,0.055,10.742
"27","AP",2,TRUE,0.04,10.745
"28","AP",3,TRUE,0.055,10.742
"29","AP",4,TRUE,0.09,10.732
"30","AP",5,TRUE,0.074,10.736
"31","HI",1,TRUE,0.122,13.563
"32","HI",2,TRUE,0.116,13.747
"33","HI",3,TRUE,0.13,13.678
"34","HI",4,TRUE,0.138,13.02
"35","HI",5,TRUE,0.125,13.677
"36","AMD",1,TRUE,0.238,10.17
"37","AMD",2,TRUE,0.246,10.107
"38","AMD",3,TRUE,0.263,10.028
"39","AMD",4,TRUE,0.301,9.783
"40","AMD",5,TRUE,0.205,10.41
"41","Porte",1,TRUE,-0.074,10.873
"42","Porte",2,TRUE,-0.107,10.914
"43","Porte",3,TRUE,-0.097,10.91
"44","Porte",4,TRUE,-0.082,10.881
"45","Porte",5,TRUE,-0.103,10.915
"46","RF",1,TRUE,0.153,10.703
"47","RF",2,TRUE,0.147,10.705
"48","RF",3,TRUE,0.145,10.703
"49","RF",4,TRUE,0.147,10.706
"50","RF",5,TRUE,0.152,10.705
"51","CR",1,TRUE,0.115,10.777
"52","CR",2,TRUE,0.123,10.755
"53","CR",3,TRUE,0.142,10.656
"54","CR",4,TRUE,0.144,10.629
"55","CR",5,TRUE,0.146,10.631
"56","DR",1,TRUE,0.125,10.849
"57","DR",2,TRUE,0.114,10.931
"58","DR",3,TRUE,0.116,10.973
"59","DR",4,TRUE,0.138,10.795
"60","DR",5,TRUE,0.108,11.022
"61","DCaule",1,TRUE,0.115,10.711
"62","DCaule",2,TRUE,0.097,10.719
"63","DCaule",3,TRUE,0.15,10.696
"64","DCaule",4,TRUE,0.132,10.703
"65","DCaule",5,TRUE,0.115,10.712
"66","Ácaro",1,TRUE,-0.221,10.875
"67","Ácaro",2,TRUE,-0.189,10.863
"68","Ácaro",3,TRUE,-0.204,10.867
"69","Ácaro",4,TRUE,-0.239,10.883
"70","Ácaro",5,TRUE,-0.224,10.877
"71","Nº Hastes",1,TRUE,0.028,10.745
"72","Nº Hastes",2,TRUE,0.066,10.717
"73","Nº Hastes",3,TRUE,0.04,10.736
"74","Nº Hastes",4,TRUE,0.061,10.721
"75","Nº Hastes",5,TRUE,0.059,10.722
"76","Stand_Final",1,TRUE,0.047,10.733
"77","Stand_Final",2,TRUE,0.076,10.715
"78","Stand_Final",3,TRUE,0.056,10.728
"79","Stand_Final",4,TRUE,0.028,10.744
"80","Stand_Final",5,TRUE,0.019,10.75
"81","Branching_Level",1,TRUE,-0.055,10.837
"82","Branching_Level",2,TRUE,-0.073,10.853
"83","Branching_Level",3,TRUE,-0.049,10.83
"84","Branching_Level",4,TRUE,-0.099,10.88
"85","Branching_Level",5,TRUE,-0.057,10.838
"86","Staygreen",1,TRUE,0.134,10.75
"87","Staygreen",2,TRUE,0.085,10.751
"88","Staygreen",3,TRUE,0.086,10.751
"89","Staygreen",4,TRUE,0.111,10.75
"90","Staygreen",5,TRUE,0.087,10.751
