"Trait","SI","X0","X0_GEBV","X0_GETGV","X0_BLUPS","XS_BLUPS","XS_GEBV","XS_GETGV","XS_GEBV_BLUP","XS_GETGV_BLUP","XS_GETGV_GEBV","kappa_GEBV_BLUP","kappa_GETGV_BLUP","kappa_GETGV_GEBV","kappa_sel_GEBV_BLUP_BLUP","kappa_sel_GETGV_BLUP_BLUP","kappa_sel_GETGV_GEBV_BLUP","kappa_sel_GEBV_BLUP_GEBV","kappa_sel_GETGV_BLUP_GEBV","kappa_sel_GETGV_GEBV_GEBV","kappa_sel_GEBV_BLUP_GETGV","kappa_sel_GETGV_BLUP_GETGV","kappa_sel_GETGV_GEBV_GETGV"
"N_Roots",10,4.29294224924012,4.29117191936705,4.29065116099997,4.25473480857023,6.09971466509786,4.64500885613634,4.69649424620927,4.5647089606668,4.57080393301631,4.69411311396888,0.0593333333333337,0.0593333333333337,0.806333333333333,0.585,0.695666666666667,0.0869999999999999,0.474333333333334,0.336,0.917,0.391333333333334,0.363666666666667,0.889333333333333
"N_Roots",15,4.29294224924012,4.29117191936705,4.29065116099997,4.25473480857023,5.93132581807634,4.61302524050734,4.65860788436472,4.51645928398517,4.55241198546702,4.65261139048575,0.045305164319249,0.0647887323943661,0.805164319248827,0.62981220657277,0.610328638497652,0.0842723004694836,0.415492957746479,0.396009389671362,0.883098591549296,0.376525821596244,0.454460093896714,0.902582159624413
"N_Roots",20,4.29294224924012,4.29117191936705,4.29065116099997,4.25473480857023,5.74406613076288,4.5912043032843,4.62589099098345,4.50378504488733,4.5357561236069,4.61630376309753,0.079618540696385,0.0642788497079917,0.800584017150884,0.585828343313373,0.57048865232498,0.0642788497079917,0.493790197383012,0.478450506394618,0.923301545058032,0.40175205145265,0.493790197383012,0.877282472092851
"N_Roots",25,4.29294224924012,4.29117191936705,4.29065116099997,4.25473480857023,5.63630078336716,4.56715939232962,4.5980349698171,4.50402190989809,4.52648749040997,4.59021404220128,0.0709150532887681,0.110172163713186,0.856057261777133,0.568171785331399,0.581257488806205,0.0840007567635743,0.502743267957369,0.463486157532951,0.93457148262597,0.502743267957369,0.528914674906981,0.921485779151163
"N_Roots",30,4.29294224924012,4.29117191936705,4.29065116099997,4.25473480857023,5.50001030215184,4.55135047503402,4.57809976324382,4.49546639891997,4.51490262180869,4.56638959201047,0.0783999550233319,0.113397425085737,0.825012649687974,0.556698712542869,0.580030359251139,0.0783999550233319,0.521701242480463,0.475037949063923,0.90667341316692,0.545032889188733,0.533367065834599,0.918339236521055
"FRY",10,4.94615604283529,4.94122000710176,4.93670363784776,4.89740199937694,7.53990296932722,5.77248956322889,5.80729772123518,5.5211316248232,5.4303721925297,5.74556958532958,0.0593333333333337,0.0869999999999999,0.889333333333333,0.585,0.723333333333333,0.0869999999999999,0.474333333333334,0.336,0.944666666666666,0.502,0.363666666666667,0.944666666666666
"FRY",15,4.94615604283529,4.94122000710176,4.93670363784776,4.89740199937694,7.13227665846596,5.62896825925997,5.69767598285201,5.47074442365633,5.43988335661737,5.62256128892233,0.231267944799481,0.173613040659442,0.827035287579883,0.634852273779754,0.692507177919793,0.212049643419469,0.596415671019727,0.519542465499676,0.923126794479948,0.538760766879689,0.48110586273965,0.903908493099935
"FRY",20,4.94615604283529,4.94122000710176,4.93670363784776,4.89740199937694,6.8281296352223,5.57018564793817,5.57817642273534,5.43222095662019,5.42286631675371,5.54368437998103,0.217675759591927,0.202336068603534,0.877282472092851,0.601168034301767,0.647187107266948,0.233015450580321,0.616507725290161,0.57048865232498,0.969320618023213,0.601168034301767,0.555148961336586,0.907961854069638
"FRY",25,4.94615604283529,4.94122000710176,4.93670363784776,4.89740199937694,6.70693176038153,5.5019991201114,5.50866044651965,5.38737439491436,5.37738263594914,5.4839156343728,0.188686384562023,0.175600681087217,0.869142965251939,0.594343192281012,0.646686006180236,0.188686384562023,0.594343192281012,0.542000378381787,0.93457148262597,0.568171785331399,0.528914674906981,0.93457148262597
"FRY",30,4.94615604283529,4.94122000710176,4.93670363784776,4.89740199937694,6.47190576123508,5.44604247947549,5.46134326159365,5.34243209875796,5.32502267932503,5.42875116963142,0.280199183125385,0.245370111341129,0.849074022268226,0.640099591562692,0.6865383539417,0.268589492530633,0.640099591562692,0.582051138588933,0.941951547026241,0.605270519778437,0.558831757399429,0.907122475241985
