"Trait","SI","kappa_GEBV_BLUP","kappa_GETGV_BLUP","kappa_GETGV_GEBV","kappa_sel_GEBV_BLUP_BLUP","kappa_sel_GETGV_BLUP_BLUP","kappa_sel_GETGV_GEBV_BLUP","kappa_sel_GEBV_BLUP_GEBV","kappa_sel_GETGV_BLUP_GEBV","kappa_sel_GETGV_GEBV_GEBV","kappa_sel_GEBV_BLUP_GETGV","kappa_sel_GETGV_BLUP_GETGV","kappa_sel_GETGV_GEBV_GETGV"
"N_Roots",10,0.0593333333333337,0.0593333333333337,0.806333333333333,0.585,0.695666666666667,0.0869999999999999,0.474333333333334,0.336,0.917,0.391333333333334,0.363666666666667,0.889333333333333
"N_Roots",15,0.045305164319249,0.0647887323943661,0.805164319248827,0.62981220657277,0.610328638497652,0.0842723004694836,0.415492957746479,0.396009389671362,0.883098591549296,0.376525821596244,0.454460093896714,0.902582159624413
"N_Roots",20,0.079618540696385,0.0642788497079917,0.800584017150884,0.585828343313373,0.57048865232498,0.0642788497079917,0.493790197383012,0.478450506394618,0.923301545058032,0.40175205145265,0.493790197383012,0.877282472092851
"N_Roots",25,0.0709150532887681,0.110172163713186,0.856057261777133,0.568171785331399,0.581257488806205,0.0840007567635743,0.502743267957369,0.463486157532951,0.93457148262597,0.502743267957369,0.528914674906981,0.921485779151163
"N_Roots",30,0.0783999550233319,0.113397425085737,0.825012649687974,0.556698712542869,0.580030359251139,0.0783999550233319,0.521701242480463,0.475037949063923,0.90667341316692,0.545032889188733,0.533367065834599,0.918339236521055
"FRY",10,0.0593333333333337,0.0869999999999999,0.889333333333333,0.585,0.723333333333333,0.0869999999999999,0.474333333333334,0.336,0.944666666666666,0.502,0.363666666666667,0.944666666666666
"FRY",15,0.231267944799481,0.173613040659442,0.827035287579883,0.634852273779754,0.692507177919793,0.212049643419469,0.596415671019727,0.519542465499676,0.923126794479948,0.538760766879689,0.48110586273965,0.903908493099935
"FRY",20,0.217675759591927,0.202336068603534,0.877282472092851,0.601168034301767,0.647187107266948,0.233015450580321,0.616507725290161,0.57048865232498,0.969320618023213,0.601168034301767,0.555148961336586,0.907961854069638
"FRY",25,0.188686384562023,0.175600681087217,0.869142965251939,0.594343192281012,0.646686006180236,0.188686384562023,0.594343192281012,0.542000378381787,0.93457148262597,0.568171785331399,0.528914674906981,0.93457148262597
"FRY",30,0.280199183125385,0.245370111341129,0.849074022268226,0.640099591562692,0.6865383539417,0.268589492530633,0.640099591562692,0.582051138588933,0.941951547026241,0.605270519778437,0.558831757399429,0.907122475241985
"ShY",10,-0.0284335463675497,-0.00136950567366597,0.837615755836703,0.594039389591757,0.594039389591757,-0.0284335463675497,0.377527064040694,0.350463023346811,0.945871918612234,0.296334941959045,0.404591104734577,0.891743837224468
"ShY",15,0.0198666296193382,0.0967398351393911,0.807816986199871,0.557979068259701,0.557979068259701,0.0198666296193382,0.461887561359637,0.423450958599611,0.903908493099935,0.48110586273965,0.538760766879689,0.903908493099935
"ShY",20,0.133706877609316,0.179301252471984,0.87841500036622,0.513660001464879,0.498461876510657,0.164103127517761,0.620046876144437,0.635245001098659,0.908811250274665,0.635245001098659,0.680839375961327,0.969603750091555
"ShY",25,0.225168035847647,0.238081901916853,0.857947473238735,0.548014687577794,0.509273089370177,0.238081901916853,0.677153348269853,0.702981080408265,0.948344535723177,0.677153348269853,0.728808812546677,0.909602937515559
"ShY",30,0.295160931061366,0.225832498051008,0.884452611649404,0.537810446597617,0.526255707762557,0.248941975721127,0.757350484463749,0.73424100679363,0.953781044659762,0.688022051453391,0.699576790288451,0.930671566989642
"DMC",10,0.0238575268817198,0.0238575268817198,1,0.546790994623656,0.546790994623656,0.0238575268817198,0.477066532258064,0.477066532258064,1,0.477066532258064,0.477066532258064,1
"DMC",15,0.0953811712030169,0.0953811712030169,1,0.511016849298928,0.511016849298928,0.0953811712030169,0.584364321904089,0.584364321904089,1,0.584364321904089,0.584364321904089,1
"DMC",20,0.14671479484602,0.14671479484602,1,0.525952663803345,0.525952663803345,0.14671479484602,0.620762131042676,0.620762131042676,1,0.620762131042676,0.620762131042676,1
"DMC",25,0.138937985091831,0.138937985091831,1,0.537577806808576,0.537577806808576,0.138937985091831,0.601360178283255,0.601360178283255,1,0.601360178283255,0.601360178283255,1
"DMC",30,0.113070193014092,0.113070193014092,1,0.528818540038737,0.528818540038737,0.113070193014092,0.584251652975356,0.584251652975356,1,0.584251652975356,0.584251652975356,1
"StY",10,-0.00606060606060597,-0.00606060606060597,0.856277056277057,0.604761904761904,0.568831168831169,-0.00606060606060597,0.389177489177488,0.425108225108225,0.928138528138528,0.389177489177488,0.425108225108225,0.928138528138528
"StY",15,0.11983032873807,0.11983032873807,0.902203369859785,0.608813479439143,0.633262636974196,0.144279486273124,0.511016849298928,0.486567691763874,0.926652527394839,0.511016849298928,0.486567691763874,0.975550842464946
"StY",20,0.192831342039455,0.173613040659442,0.865471890339909,0.61563397239974,0.634852273779754,0.15439473927943,0.577197369639715,0.557979068259701,0.942345095859961,0.557979068259701,0.538760766879689,0.923126794479948
"StY",25,0.282448320909859,0.23461154230385,0.904326442787981,0.712979328363944,0.744870514101283,0.26650272804119,0.569468992545915,0.537577806808576,0.96810881426266,0.521632213939906,0.489741028202567,0.920272035656651
"StY",30,0.273791896621349,0.273791896621349,0.902241216852874,0.692758110109032,0.706723650558622,0.301722977520527,0.581033786512316,0.567068246062727,0.958103378651232,0.581033786512316,0.567068246062727,0.944137838201642
"Plant.Height",10,0.161014738489631,0.161014738489631,0.918807877918351,0.539911308203991,0.594039389591757,0.161014738489631,0.62110343028564,0.539911308203991,0.972935959306117,0.566975348897874,0.566975348897874,0.945871918612234
"Plant.Height",15,0.212049643419469,0.173613040659442,0.865471890339909,0.519542465499676,0.596415671019727,0.212049643419469,0.692507177919793,0.557979068259701,0.961563397239974,0.61563397239974,0.577197369639715,0.903908493099935
"Plant.Height",20,0.255291877243097,0.240093752288875,0.87841500036622,0.57445250128177,0.635245001098659,0.255291877243097,0.680839375961327,0.620046876144437,0.924009375228887,0.650443126052882,0.604848751190214,0.954405625137332
"Plant.Height",25,0.276823500124471,0.250995767986059,0.896689071446353,0.573842419716206,0.586756285785412,0.250995767986059,0.702981080408265,0.690067214339059,0.961258401792382,0.664239482200647,0.664239482200647,0.93543066965397
"Plant.Height",30,0.306715669896425,0.272051453391246,0.872897872814345,0.630248357278093,0.618693618443034,0.272051453391246,0.676467312618332,0.664912573783272,0.930671566989642,0.630248357278093,0.653357834948212,0.942226305824702
"HI",10,-0.0513333333333318,-0.0236666666666663,0.806333333333333,0.446666666666667,0.446666666666667,-0.0236666666666663,0.502,0.474333333333334,0.889333333333333,0.474333333333334,0.529666666666667,0.917
"HI",15,0.0775215337593772,0.0583032323793645,0.865471890339909,0.500324164119662,0.500324164119662,0.0583032323793645,0.577197369639715,0.557979068259701,0.923126794479948,0.538760766879689,0.557979068259701,0.942345095859961
"HI",20,0.125637613661566,0.14097730464996,0.923301545058032,0.509129888371405,0.524469579359799,0.125637613661566,0.616507725290161,0.585828343313373,0.969320618023213,0.631847416278554,0.616507725290161,0.953980927034819
"HI",25,0.136343570662798,0.136343570662798,0.895314372201551,0.528914674906981,0.542000378381787,0.136343570662798,0.607428895755817,0.581257488806205,0.947657186100776,0.594343192281012,0.594343192281012,0.947657186100776
"HI",30,0.152492586583114,0.198931348962121,0.907122475241985,0.558831757399429,0.547222066804677,0.164102277177866,0.593660829183685,0.593660829183685,0.953561237620992,0.616880210373189,0.651709282157444,0.953561237620992
"StC",10,0.0238575268817198,0.0238575268817198,1,0.51192876344086,0.51192876344086,0.0238575268817198,0.51192876344086,0.51192876344086,1,0.51192876344086,0.51192876344086,1
"StC",15,0.0709320136679636,0.0709320136679636,1,0.486567691763874,0.486567691763874,0.0709320136679636,0.584364321904089,0.584364321904089,1,0.584364321904089,0.584364321904089,1
"StC",20,0.14671479484602,0.14671479484602,1,0.525952663803345,0.525952663803345,0.14671479484602,0.620762131042676,0.620762131042676,1,0.620762131042676,0.620762131042676,1
"StC",25,0.138937985091831,0.138937985091831,1,0.537577806808576,0.537577806808576,0.138937985091831,0.601360178283255,0.601360178283255,1,0.601360178283255,0.601360178283255,1
"StC",30,0.126928471248247,0.126928471248247,1,0.542676818272891,0.542676818272891,0.126928471248247,0.584251652975356,0.584251652975356,1,0.584251652975356,0.584251652975356,1
"Root.Le",10,0.142333333333334,0.142333333333334,0.861666666666666,0.557333333333334,0.585,0.114666666666667,0.585,0.474333333333334,0.917,0.529666666666667,0.557333333333334,0.944666666666666
"Root.Le",15,0.279107981220657,0.240140845070422,0.844131455399061,0.532394366197183,0.532394366197183,0.25962441314554,0.746713615023474,0.707746478873239,0.941549295774648,0.707746478873239,0.707746478873239,0.902582159624413
"Root.Le",20,0.325053596510682,0.340393287499076,0.846603090116064,0.524469579359799,0.57048865232498,0.325053596510682,0.800584017150884,0.723885562208916,0.938641236046426,0.78524432616249,0.769904635174096,0.907961854069638
"Root.Le",25,0.33262912278489,0.33262912278489,0.882228668726745,0.542000378381787,0.581257488806205,0.33262912278489,0.790628744403103,0.751371633978684,0.947657186100776,0.76445733745349,0.751371633978684,0.93457148262597
"Root.Le",30,0.358379715522573,0.311716422106033,0.86001011975038,0.591696182605274,0.626693652667679,0.346713892168438,0.766683532917299,0.685022769438354,0.95333670658346,0.696688592792489,0.685022769438354,0.895007589812785
"Root.Di",10,0.114666666666667,0.114666666666667,1,0.529666666666667,0.529666666666667,0.114666666666667,0.585,0.585,1,0.585,0.585,1
"Root.Di",15,0.142723004694836,0.103755868544601,0.961032863849765,0.5518779342723,0.5518779342723,0.123239436619718,0.590845070422535,0.590845070422535,0.980516431924883,0.5518779342723,0.5518779342723,0.980516431924883
"Root.Di",20,0.233015450580321,0.248355141568715,0.953980927034819,0.539809270348192,0.555148961336586,0.233015450580321,0.693206180232128,0.662526798255341,0.984660309011607,0.693206180232128,0.693206180232128,0.969320618023213
"Root.Di",25,0.267200605410859,0.280286308885666,0.960742889575582,0.594343192281012,0.581257488806205,0.280286308885666,0.672857413129848,0.685943116604654,0.973828593050388,0.685943116604654,0.69902882007946,0.986914296525194
"Root.Di",30,0.265053128689492,0.265053128689492,0.97666835329173,0.591696182605274,0.580030359251139,0.265053128689492,0.673356946084219,0.685022769438354,1,0.673356946084219,0.685022769438354,0.97666835329173
"Stem.D",10,0.161014738489631,0.0798226164079826,0.756423633755054,0.648167470979523,0.566975348897874,0.133950697795748,0.512847267510109,0.539911308203991,0.864679796530586,0.377527064040694,0.512847267510109,0.891743837224468
"Stem.D",15,0.203600475189619,0.165676688293886,0.84830485241707,0.620762131042676,0.601800237594809,0.203600475189619,0.582838344146943,0.582838344146943,0.924152426208535,0.506990770355478,0.563876450699077,0.924152426208535
"Stem.D",20,0.270490002197319,0.224895627334651,0.802424375595107,0.620046876144437,0.635245001098659,0.270490002197319,0.650443126052882,0.620046876144437,0.924009375228887,0.57445250128177,0.589650626235992,0.87841500036622
"Stem.D",25,0.302651232262882,0.289737366193677,0.845033607169529,0.702981080408265,0.702981080408265,0.302651232262882,0.599670151854618,0.599670151854618,0.909602937515559,0.573842419716206,0.586756285785412,0.93543066965397
"Stem.D",30,0.298442523001885,0.298442523001885,0.815984924066068,0.781482097328456,0.746979270590844,0.309943465247755,0.516960425673429,0.505459483427558,0.907992462033034,0.505459483427558,0.551463252411041,0.907992462033034
"Nstem.Plant",10,0.0238575268817198,0.0238575268817198,1,0.442204301075269,0.477066532258064,0.0238575268817198,0.581653225806451,0.546790994623656,1,0.581653225806451,0.546790994623656,1
"Nstem.Plant",15,0.136216466234968,0.112222479185939,0.952012025901943,0.472132284921369,0.496126271970398,0.136216466234968,0.664084181313598,0.64009019426457,0.976006012950971,0.64009019426457,0.616096207215541,0.976006012950971
"Nstem.Plant",20,0.139159451659452,0.139159451659452,0.88771645021645,0.550865800865801,0.569579725829726,0.139159451659452,0.588293650793651,0.569579725829726,0.9251443001443,0.569579725829726,0.569579725829726,0.96257215007215
