trait,model,Df,AIC,BIC,loLik,Chisq,ChiDf,PrChisq
N_Roots,Complete,54,598.06348578845,687.468561308345,-283.031742894225,,,
N_Roots,Clone:Year,53,657.263452555664,746.668528075559,-312.631726277832,59.19997,1,1.42436244665181e-14 ***
N_Roots,Year,53,598.063485788448,687.468561308343,-283.031742894224,0,1,1 
N_Roots,Clone,53,654.669635720837,744.074711240732,-311.334817860419,56.60615,1,5.32450566461941e-14 ***
N_Roots,row,53,598.063484301537,687.468559821432,-283.031742150768,0,1,0.99903 
N_Roots,col,53,611.522673774969,700.927749294864,-289.761336887485,13.45919,1,0.00024 ***
FRY,Complete,54,927.520447567461,1016.8198047866,-447.760223783731,,,
FRY,Clone:Year,53,1056.8374688916,1146.13682611074,-512.4187344458,129.31702,1,5.7807213084901e-30 ***
FRY,Year,53,927.52044756746,1016.8198047866,-447.76022378373,0,1,1 
FRY,Clone,53,962.238986700996,1051.53834392014,-465.119493350498,34.71854,1,3.80986092686306e-09 ***
FRY,row,53,934.996821198496,1024.29617841764,-451.498410599248,7.47637,1,0.00625 **
FRY,col,53,948.536114794562,1037.8354720137,-458.268057397281,21.01567,1,4.55542957069547e-06 ***
ShY,Complete,54,-273.53476763659,-183.254381488864,152.767383818295,,,
ShY,Clone:Year,53,-212.383506530831,-122.103120383104,122.191753265415,61.15126,1,5.28539028651048e-15 ***
ShY,Year,53,-273.534767636601,-183.254381488875,152.767383818301,0,1,1 
ShY,Clone,53,-224.871940568391,-134.591554420665,128.435970284195,48.66283,1,3.03973677890998e-12 ***
ShY,row,53,-249.670491214752,-159.390105067026,140.835245607376,23.86428,1,1.03372377017493e-06 ***
ShY,col,53,-263.390380003684,-173.109993855958,147.695190001842,10.14439,1,0.00145 **
DMC,Complete,42,197.614877033516,259.912028993952,-86.8074385167579,,,
DMC,Clone:Year,41,224.522762900031,286.819914860467,-100.261381450015,26.90789,1,2.13386444379736e-07 ***
DMC,Year,41,197.614877033516,259.912028993952,-86.8074385167579,0,1,1 
DMC,Clone,41,219.266161749617,281.563313710053,-97.6330808748083,21.65128,1,3.26990929235941e-06 ***
DMC,row,41,222.704506097487,285.001658057924,-99.3522530487435,25.08963,1,5.47263978461532e-07 ***
DMC,col,41,231.49260961667,293.789761577107,-103.746304808335,33.87773,1,5.868655151605e-09 ***
StY,Complete,42,875.346469843176,937.552918423925,-425.673234921588,,,
StY,Clone:Year,41,945.082624217289,1007.28907279804,-460.541312108644,69.73615,1,6.77920499480788e-17 ***
StY,Year,41,875.346469843174,937.552918423923,-425.673234921587,0,1,1 
StY,Clone,41,887.526959761584,949.733408342333,-431.763479880792,12.18049,1,0.00048 ***
StY,row,41,880.785945279879,942.992393860628,-428.392972639939,5.43948,1,0.01969 *
StY,col,41,918.808453129539,981.014901710289,-447.40422656477,43.46198,1,4.32276349277575e-11 ***
Plant.Height,Complete,54,534.799913969096,625.011085877669,-251.399956984548,,,
Plant.Height,Clone:Year,53,577.533462365965,667.744634274538,-272.766731182983,42.73355,1,6.27272180767349e-11 ***
Plant.Height,Year,53,534.799913969096,625.011085877669,-251.399956984548,0,1,1 
Plant.Height,Clone,53,563.666299824851,653.877471733423,-265.833149912425,28.86639,1,7.75470773833564e-08 ***
Plant.Height,row,53,574.773688997617,664.98486090619,-271.386844498809,39.97378,1,2.57395491088429e-10 ***
Plant.Height,col,53,571.186618146058,661.39779005463,-269.593309073029,36.3867,1,1.61803235320847e-09 ***
HI,Complete,54,857.439846200331,946.690173759043,-412.719923100166,,,
HI,Clone:Year,53,998.117508254726,1087.36783581344,-483.058754127363,140.67766,1,1.89246206135505e-32 ***
HI,Year,53,857.439846200331,946.690173759043,-412.719923100166,0,1,1 
HI,Clone,53,883.081262166804,972.331589725515,-425.540631083402,25.64142,1,4.11120223239732e-07 ***
HI,row,53,863.931220376758,953.18154793547,-415.965610188379,6.49137,1,0.01084 *
